Dataset,Method,NLL,RMSE,Seed
PolTele,sgGP,-0.47200000000000003,0.1288,10.0
PolTele,sgGP,-0.4847,0.1256,20.0
PolTele,sgGP,-0.4826,0.129,30.0
Elevators,sgGP,0.4305,0.3666,10.0
Elevators,sgGP,0.3988,0.3492,20.0
Elevators,sgGP,0.4485,0.369,30.0
Bike,sgGP,70.3917,1.2613,10.0
Bike,sgGP,177.3582,1.4817,20.0
Bike,sgGP,9.3963,0.3885,30.0
Kin40K,sgGP,0.4282,0.0806,10.0
Kin40K,sgGP,0.4257,0.081,20.0
Kin40K,sgGP,0.4282,0.0816,30.0
Protein,sgGP,0.9503,0.5573,10.0
Protein,sgGP,0.9449,0.5574,20.0
Protein,sgGP,0.9592,0.5722,30.0
KEGG,sgGP,-1.0313,0.0851,10.0
KEGG,sgGP,-0.9927,0.0882,20.0
KEGG,sgGP,-0.919,0.0934,30.0
KEGGU,sgGP,-0.6776,0.1219,10.0
KEGGU,sgGP,-0.6654,0.12300000000000001,20.0
KEGGU,sgGP,-0.6603,0.124,30.0
3DRoad,sgGP,0.8306,0.285,10.0
3DRoad,sgGP,0.8322,0.2905,20.0
3DRoad,sgGP,0.831,0.27899999999999997,30.0
PolTele,SVGP,-0.4497,0.1499,30.0
PolTele,SVGP,-0.435,0.1497,10.0
PolTele,SVGP,-0.4416,0.1492,20.0
Elevators,SVGP,0.4414,0.3761,10.0
Elevators,SVGP,0.4686,0.3854,30.0
Elevators,SVGP,0.4154,0.3656,20.0
Bike,SVGP,-1.4688,0.0484,30.0
Bike,SVGP,-1.5502,0.0415,20.0
Bike,SVGP,-1.5229,0.0451,10.0
Kin40K,SVGP,-0.4047,0.1534,20.0
Kin40K,SVGP,-0.41100000000000003,0.1515,30.0
Kin40K,SVGP,-0.4134,0.1502,10.0
Protein,SVGP,1.0188,0.6676,20.0
Protein,SVGP,0.9914,0.6485,10.0
Protein,SVGP,1.0306,0.6755,30.0
KEGG,SVGP,-1.0611,0.0831,10.0
KEGG,SVGP,-1.0232,0.0884,20.0
KEGG,SVGP,-0.9818,0.0912,30.0
KEGGU,SVGP,-0.6827,0.1221,20.0
KEGGU,SVGP,-0.6934,0.1208,10.0
KEGGU,SVGP,-0.6781,0.1227,30.0
3DRoad,SVGP,0.6094,0.4433,10.0
3DRoad,SVGP,0.5965,0.4375,20.0
3DRoad,SVGP,0.5956,0.4362,30.0
PolTele,RR-CG,-0.4466,0.1095,10.0
PolTele,RR-CG,-0.4595,0.1107,20.0
PolTele,RR-CG,-0.4668,0.1149,30.0
Elevators,RR-CG,0.4011,0.3492,10.0
Elevators,RR-CG,0.4474,0.3686,20.0
Elevators,RR-CG,0.4267,0.3626,30.0
Bike,RR-CG,-1.0172,0.0383,10.0
Bike,RR-CG,-0.9578,0.0306,20.0
Bike,RR-CG,-0.9697,0.0367,30.0
Kin40K,RR-CG,0.4264,0.0916,10.0
Kin40K,RR-CG,0.4492,0.0909,20.0
Kin40K,RR-CG,0.471,0.0895,30.0
Protein,RR-CG,0.921,0.5254,10.0
Protein,RR-CG,0.9379,0.5448,20.0
Protein,RR-CG,0.9422,0.5528,30.0
KEGG,RR-CG,-0.9008,0.0819,10.0
KEGG,RR-CG,-0.8829,0.0882,20.0
KEGG,RR-CG,-0.8695,0.0904,30.0
KEGGU,RR-CG,-0.6543,0.12,10.0
KEGGU,RR-CG,-0.6519,0.1197,20.0
KEGGU,RR-CG,-0.6423,0.1206,30.0
3DRoad,RR-CG,0.8059,0.1269,10
3DRoad,RR-CG,0.7464,0.1009,20
3DRoad,RR-CG,,,
PolTele,CG,-0.3535,0.1185,10.0
PolTele,CG,-0.3493,0.1236,20.0
PolTele,CG,-0.36,0.1164,30.0
Elevators,CG,0.432,0.3621,10.0
Elevators,CG,0.4495,0.3685,20.0
Elevators,CG,0.4065,0.3488,30.0
Bike,CG,-0.9821,0.0408,10.0
Bike,CG,-0.9774,0.0309,20.0
Bike,CG,-0.9546,0.0491,30.0
Kin40K,CG,0.4726,0.0935,10.0
Kin40K,CG,0.4618,0.0938,20.0
Kin40K,CG,0.4703,0.0932,30.0
Protein,CG,0.9217,0.5255,10.0
Protein,CG,0.9374,0.5447,20.0
Protein,CG,0.9429,0.5526,30.0
KEGG,CG,-0.5248,0.0891,10.0
KEGG,CG,0.0991,0.1835,20.0
KEGG,CG,1.6708,0.3116,30.0
KEGGU,CG,-0.6479,0.12,10.0
