Dataset,Method,NLL,RMSE,Seed,Time
PolTele,RFF,-0.16784,0.10581,49.0,0.46
PolTele,RFF,-0.15921,0.10624,5328.0,0.468
PolTele,RFF,-0.1494,0.10661,8965.0,0.4635
Elevators,RFF,0.77407,0.36245,49.0,0.505
Elevators,RFF,0.77424,0.36598,5328.0,0.4982
Elevators,RFF,0.79165,0.36722,8965.0,0.5036
Bike,RFF,0.0418,0.06056,49.0,0.5035
Bike,RFF,0.11548,0.06245,5328.0,0.46033
Bike,RFF,0.14061,0.06462,8965.0,0.463
Kin40K,RFF,1.39988,0.07355,49.0,0.772
Kin40K,RFF,1.40986,0.07398,5328.0,0.7576
Kin40K,RFF,1.41121,0.07436,8965.0,0.78533
Protein,RFF,1.15771,0.54571,49.0,0.7045
Protein,RFF,1.16267,0.54574,5328.0,0.71383
Protein,RFF,1.16763,0.54825,8965.0,0.730833
KEGG,RFF,2.91683,0.09856,49.0,0.6806
KEGG,RFF,5.2601,0.10184,5328.0,0.6863
KEGG,RFF,10.75558,0.1023,8965.0,0.679
KEGGU,RFF,3.68611,0.12855,49.0,0.83267
KEGGU,RFF,3.70902,0.12892,5328.0,0.8345
KEGGU,RFF,4.60553,0.13071,8965.0,0.83667
3DRoad,RFF,1.31072,0.34607,49.0,6.14567
3DRoad,RFF,1.31843,0.34851,5328.0,6.08083
3DRoad,RFF,1.32285,0.35037,8965.0,6.03916
